Imperfective	Perfective
пересиживать	пересидеть
досиживать	досидеть
просиживать	просидеть
отсиживать	отсидеть
усиживать	усидеть
высиживать	высидеть
обалдевать	обалдеть
одевать	одеть
переодевать	переодеть
разодевать	разодеть
продевать	продеть
затвердевать	затвердеть
отвердевать	отвердеть
оскудевать	оскудеть
обглядывать	обглядеть
подглядывать	подглядеть
приглядывать	приглядеть
оглядывать	оглядеть
доглядывать	доглядеть
недоглядывать	недоглядеть
проглядывать	проглядеть
выглядывать	выглядеть
ошалевать	ошалеть
обомлевать	обомлеть
разомлевать	разомлеть
заболевать	заболеть
одолевать	одолеть
преодолевать	преодолеть
околевать	околеть
запечатлевать	запечатлеть
напечатлевать	напечатлеть
отпечатлевать	отпечатлеть
перетлевать	перетлеть
дотлевать	дотлеть
истлевать	истлеть
онемевать	онеметь
уразумевать	уразуметь
обледеневать	обледенеть
оледеневать	оледенеть
окаменевать	окаменеть
закостеневать	закостенеть
окостеневать	окостенеть
окоченевать	окоченеть
прояснивать	прояснеть
разъяснивать	разъяснеть
выяснивать	выяснеть
запевать	запеть
напевать	напеть
подпевать	подпеть
перепевать	перепеть
закипать	закипеть
накипать	накипеть
перекипать	перекипеть
прикипать	прикипеть
докипать	докипеть
прокипать	прокипеть
вскипать	вскипеть
откипать	откипеть
укипать	укипеть
выкипать	выкипеть
допевать	допеть
претерпевать	претерпеть
распевать	распеть
переспевать	переспеть
приспевать	приспеть
воспевать	воспеть
доспевать	доспеть
подоспевать	подоспеть
поспевать	поспеть
успевать	успеть
преуспевать	преуспеть
выспевать	выспеть
отпевать	отпеть
отупевать	отупеть
выпевать	выпеть
застаревать	застареть
устаревать	устареть
нагревать	нагреть
перегревать	перегреть
взгревать	взгреть
пригревать	пригреть
огревать	огреть
обогревать	обогреть
догревать	догреть
подогревать	подогреть
разогревать	разогреть
прогревать	прогреть
согревать	согреть
отогревать	отогреть
угревать	угреть
замирать	замереть
обмирать	обмереть
помирать	помереть
отмирать	отмереть
умирать	умереть
вымирать	вымереть
запирать	запереть
напирать	напереть
поднапирать	поднапереть
впирать	впереть
подпирать	подпереть
перепирать	перепереть
припирать	припереть
опирать	опереть
пропирать	пропереть
спирать	спереть
распирать	распереть
отпирать	отпереть
упирать	упереть
выпирать	выпереть
затирать	затереть
натирать	натереть
обтирать	обтереть
втирать	втереть
подтирать	подтереть
перетирать	перетереть
притирать	притереть
отирать	отереть
дотирать	дотереть
протирать	протереть
стирать	стереть
растирать	растереть
истирать	истереть
простирать	простереть
распростирать	распростереть
оттирать	оттереть
утирать	утереть
вытирать	вытереть
назревать	назреть
перезревать	перезреть
презирать	презреть
взирать	воззреть
призирать	призреть
обозревать	обозреть
дозревать	дозреть
прозревать	прозреть
созревать	созреть
вызревать	вызреть
загорать	загореть
нагорать	нагореть
обгорать	обгореть
подгорать	подгореть
перегорать	перегореть
изгорать	изгореть
возгорать	возгореть
пригорать	пригореть
догорать	догореть
погорать	погореть
прогорать	прогореть
сгорать	сгореть
отгорать	отгореть
угорать	угореть
выгорать	выгореть
запревать	запреть
напревать	напреть
перепревать	перепреть
опревать	опреть
допревать	допреть
подпревать	подопреть
разопревать	разопреть
пропревать	пропреть
сопревать	сопреть
отпревать	отопреть
упревать	упреть
выпревать	выпреть
насматривать	насмотреть
обсматривать	обсмотреть
подсматривать	подсмотреть
пересматривать	пересмотреть
присматривать	присмотреть
осматривать	осмотреть
досматривать	досмотреть
недосматривать	недосмотреть
просматривать	просмотреть
рассматривать	рассмотреть
усматривать	усмотреть
предусматривать	предусмотреть
высматривать	высмотреть
одуревать	одуреть
отсыревать	отсыреть
залетать	залететь
налетать	налететь
облетать	облететь
влетать	влететь
подлетать	подлететь
перелетать	перелететь
взлетать	взлететь
излетать	излететь
прилетать	прилететь
долетать	долететь
пролетать	пролететь
слетать	слететь
отлетать	отлететь
улетать	улететь
вылетать	вылететь
запотевать	запотеть
пропотевать	пропотеть
отпотевать	отпотеть
выпотевать	выпотеть
наверчивать	навертеть
обверчивать	обвертеть
вверчивать	ввертеть
подверчивать	подвертеть
переверчивать	перевертеть
разверчивать	развертеть
приверчивать	привертеть
доверчивать	довертеть
проверчивать	провертеть
сверчивать	свертеть
отверчивать	отвертеть
выверчивать	вывертеть
насвистывать	насвистеть
просвистывать	просвистеть
просвистывать	просвистеть
высвистывать	высвистеть
залезать	залезть
налезать	налезть
облезать	облезть
облезать	облезть
влезать	влезть
подлезать	подлезть
перелезать	перелезть
взлезать	взлезть
прилезать	прилезть
долезать	долезть
пролезать	пролезть
слезать	слезть
отлезать	отлезть
улезать	улезть
вылезать	вылезть
отверзать	отверзть
загрызать	загрызть
нагрызать	нагрызть
обгрызать	обгрызть
надгрызать	надгрызть
подгрызать	подгрызть
перегрызать	перегрызть
разгрызать	разгрызть
изгрызать	изгрызть
огрызать	огрызть
догрызать	догрызть
прогрызать	прогрызть
сгрызать	сгрызть
отгрызать	отгрызть
угрызать	угрызть
выгрызать	выгрызть
задраивать	задраить
надраивать	надраить
продраивать	продраить
отдраивать	отдраить
выдраивать	выдраить
затаивать	затаить
утаивать	утаить
забивать	забить
ослаблять	ослабить
расслаблять	расслабить
набивать	набить
оббивать	оббить
вбивать	вбить
надбивать	надбить
подбивать	подбить
перебивать	перебить
потреблять	потребить
употреблять	употребить
злоупотреблять	злоупотребить
истреблять	истребить
разбивать	разбить
взбивать	взбить
избивать	избить
прибивать	прибить
зашибать	зашибить
обшибать	обшибить
вшибать	вшибить
подшибать	подшибить
перешибать	перешибить
пришибать	пришибить
дошибать	дошибить
прошибать	прошибить
сшибать	сшибить
расшибать	расшибить
отшибать	отшибить
ушибать	ушибить
вышибать	вышибить
задалбливать	задолбить
надалбливать	надолбить
вдалбливать	вдолбить
наддалбливать	наддолбить
поддалбливать	поддолбить
раздалбливать	раздолбить
издалбливать	издолбить
продалбливать	продолбить
выдалбливать	выдолбить
обивать	обить
добивать	добить
сподоблять	сподобить
уподоблять	уподобить
разжалобливать	разжалобить
озлоблять	озлобить
побивать	побить
раздроблять	раздробить
пробивать	пробить
подсоблять	подсобить
обособлять	обособить
пособлять	пособить
приспосабливать	приспособить
ущерблять	ущербить
выщерблять	выщербить
оскорблять	оскорбить
сбивать	сбить
отбивать	отбить
убивать	убить
пригубливать	пригубить
усугублять	усугубить
усугублять	усугубить
заглублять	заглубить
углублять	углубить
приголубливать	приголубить
зарубать	зарубить
нарубать	нарубить
обрубать	обрубить
врубать	врубить
огрублять	огрубить
надрубать	надрубить
подрубать	подрубить
перерубать	перерубить
разрубать	разрубить
изрубать	изрубить
прирубать	прирубить
дорубать	дорубить
прорубать	прорубить
срубать	срубить
отрубать	отрубить
вырубать	вырубить
выбивать	выбить
вздыбливать	вздыбить
зарыблять	зарыбить
влюблять	влюбить
разлюблять	разлюбить
набавлять	набавить
надбавлять	надбавить
подбавлять	подбавить
разбавлять	разбавить
избавлять	избавить
прибавлять	прибавить
добавлять	добавить
сбавлять	сбавить
отбавлять	отбавить
убавлять	убавить
окровавливать	окровавить
задавливать	задавить
надавливать	надавить
вдавливать	вдавить
поддавливать	поддавить
раздавливать	раздавить
придавливать	придавить
подавлять	подавить
продавливать	продавить
сдавливать	сдавить
отдавливать	отдавить
удавливать	удавить
выдавливать	выдавить
завивать	завить
подзавивать	подзавить
озаглавливать	озаглавить
обезглавливать	обезглавить
возглавлять	возглавить
наплавлять	наплавить
вплавлять	вплавить
переплавлять	переплавить
оплавлять	оплавить
проплавливать	проплавить
сплавлять	сплавить
расплавлять	расплавить
выплавлять	выплавить
ославлять	ославить
прославлять	прославить
расславлять	расславить
обесславливать	обесславить
восславлять	восславить
навивать	навить
поздравлять	поздравить
заправлять	заправить
дозаправлять	дозаправить
направлять	направить
вправлять	вправить
подправлять	подправить
переправлять	переправить
приправлять	приправить
оправлять	оправить
поправлять	поправить
справлять	справить
расправлять	расправить
исправлять	исправить
отправлять	отправить
выправлять	выправить
затравливать	затравить
натравливать	натравить
втравливать	втравить
подтравливать	подтравить
перетравливать	перетравить
притравливать	притравить
отравлять	отравить
протравливать	протравить
стравливать	стравить
растравливать	растравить
вытравливать	вытравить
разбуравливать	разбуравить
пробуравливать	пробуравить
выбуравливать	выбуравить
перемуравливать	перемуравить
заставлять	заставить
наставлять	наставить
обставлять	обставить
вставлять	вставить
надставлять	надставить
представлять	представить
подставлять	подставить
переставлять	переставить
приставлять	приставить
оставлять	оставить
доставлять	доставить
предоставлять	предоставить
поставлять	поставить
противопоставлять	противопоставить
сопоставлять	сопоставить
проставлять	проставить
составлять	составить
пересоставлять	пересоставить
расставлять	расставить
восставлять	восставить
отставлять	отставить
уставлять	уставить
выставлять	выставить
обвивать	обвить
ввивать	ввить
надвивать	надвить
подвивать	подвить
перевивать	перевить
передешевлять	передешевить
продешевлять	продешевить
удешевлять	удешевить
одушевлять	одушевить
воодушевлять	воодушевить
развивать	развить
взвивать	взвить
отрезвлять	отрезвить
протрезвлять	протрезвить
вытрезвлять	вытрезвить
извивать	извить
уязвлять	уязвить
изъязвлять	изъязвить
удивлять	удивить
заживлять	заживить
наживлять	наживить
вживлять	вживить
подживлять	подживить
приживлять	приживить
оживлять	оживить
отживлять	отживить
осчастливливать	осчастливить
закривлять	закривить
перекривлять	перекривить
искривлять	искривить
прививать	привить
умилостивлять	умилостивить
овивать	овить
довивать	довить
залавливать	заловить
налавливать	наловить
облавливать	обловить
подлавливать	подловить
перелавливать	переловить
излавливать	изловить
долавливать	доловить
благословлять	благословить
обусловливать	обусловить
отлавливать	отловить
улавливать	уловить
вылавливать	выловить
перестанавливать	перестановить
останавливать	остановить
приостанавливать	приостановить
постановлять	постановить
расстанавливать	расстановить
восстанавливать	восстановить
устанавливать	установить
обновлять	обновить
возобновлять	возобновить
подновлять	подновить
поновлять	поновить
вдохновлять	вдохновить
усыновлять	усыновить
повивать	повить
обескровливать	обескровить
оздоровлять	оздоровить
приноравливать	приноровить
разнайтовливать	разнайтовить
принайтовливать	принайтовить
заготавливать	заготовить
наготавливать	наготовить
подготавливать	подготовить
переподготавливать	переподготовить
изготовлять	изготовить
приготавливать	приготовить
уготовлять	уготовить
предуготовлять	предуготовить
приуготовлять	приуготовить
свивать	свить
разветвлять	разветвить
ответвлять	ответвить
отвивать	отвить
омертвлять	омертвить
умерщвлять	умертвить
отождествлять	отождествить
обожествлять	обожествить
отожествлять	отожествить
обобществлять	обобществить
овеществлять	овеществить
пресуществлять	пресуществить
осуществлять	осуществить
огосударствливать	огосударствить
очерствлять	очерствить
увивать	увить
вывивать	вывить
являть	явить
заявлять	заявить
раззявливать	раззявить
обслюнявливать	обслюнявить
проявлять	проявить
издырявливать	издырявить
продырявливать	продырявить
объявлять	объявить
предъявлять	предъявить
изъявлять	изъявить
выявлять	выявить
приваживать	привадить
поваживать	повадить
спроваживать	спровадить
отваживать	отвадить
загаживать	загадить
обгаживать	обгадить
подгаживать	подгадить
изгаживать	изгадить
угаживать	угадить
налаживать	наладить
переналаживать	переналадить
облаживать	обладить
заглаживать	загладить
наглаживать	нагладить
обглаживать	обгладить
подглаживать	подгладить
переглаживать	перегладить
разглаживать	разгладить
изглаживать	изгладить
приглаживать	пригладить
оглаживать	огладить
доглаживать	догладить
проглаживать	прогладить
сглаживать	сгладить
отглаживать	отгладить
выглаживать	выгладить
подлаживать	подладить
перелаживать	переладить
разлаживать	разладить
излаживать	изладить
прилаживать	приладить
слаживать	сладить
наслаждать	насладить
услаждать	усладить
отлаживать	отладить
улаживать	уладить
охлаждать	охладить
переохлаждать	переохладить
прохлаждать	прохладить
напомаживать	напомадить
припомаживать	припомадить
заграждать	заградить
награждать	наградить
вознаграждать	вознаградить
преграждать	преградить
ограждать	оградить
засаживать	засадить
насаждать	насадить
насаживать	насадить
обсаживать	обсадить
всаживать	всадить
надсаживать	надсадить
подсаживать	подсадить
пересаживать	пересадить
присаживать	присадить
осаживать	осадить
осаждать	осадить
осаждать	осадить
досаживать	досадить
досаждать	досадить
просаживать	просадить
ссаживать	ссадить
рассаживать	рассадить
отсаживать	отсадить
усаживать	усадить
высаживать	высадить
снабжать	снабдить
побеждать	победить
убеждать	убедить
предубеждать	предубедить
переубеждать	переубедить
разубеждать	разубедить
заслеживать	заследить
прослеживать	проследить
исслеживать	исследить
отслеживать	отследить
услеживать	уследить
выслеживать	выследить
обезвреживать	обезвредить
повреждать	повредить
подрежать	подредить
опережать	опередить
изреживать	изредить
разрежать	разредить
прореживать	проредить
упреждать	упредить
предупреждать	предупредить
учреждать	учредить
нацеживать	нацедить
вцеживать	вцедить
подцеживать	подцедить
перецеживать	перецедить
прицеживать	прицедить
оцеживать	оцедить
процеживать	процедить
сцеживать	сцедить
отцеживать	отцедить
уцеживать	уцедить
выцеживать	выцедить
заезживать	заездить
наезживать	наездить
доезживать	доездить
проезживать	проездить
проезжать	проездить
уезживать	уездить
объезжать	объездить
разъезживать	разъездить
выезживать	выездить
пригвождать	пригвоздить
загромождать	загромоздить
нагромождать	нагромоздить
взгромождать	взгромоздить
разжижать	разжидить
сжижать	сжидить
освобождать	освободить
высвобождать	высвободить
обезвоживать	обезводить
провожать	проводить
препровождать	препроводить
сопровождать	сопроводить
выпроваживать	выпроводить
вываживать	выводить
угождать	угодить
подмолаживать	подмолодить
омолаживать	омолодить
нахолаживать	нахолодить
прохолаживать	прохолодить
расхолаживать	расхолодить
выхолаживать	выхолодить
распложать	расплодить
обеспложивать	обесплодить
*	родить
зарождать	зародить
дображивать	добродить
перерождать	переродить
возрождать	возродить
загораживать	загородить
облагораживать	облагородить
нагораживать	нагородить
обгораживать	обгородить
подгораживать	подгородить
перегораживать	перегородить
разгораживать	разгородить
пригораживать	пригородить
огораживать	огородить
отгораживать	отгородить
выгораживать	выгородить
порождать	породить
урождать	уродить
нахаживать	находить
перехаживать	переходить
обихаживать	обиходить
дохаживать	доходить
расхаживать	расходить
исхаживать	исходить
отхаживать	отходить
выхаживать	выходить
затверживать	затвердить
подтверждать	подтвердить
утверждать	утвердить
вытверживать	вытвердить
науживать	наудить
возбуждать	возбудить
побуждать	побудить
пробуждать	пробудить
подзуживать	подзудить
раззуживать	раззудить
перелуживать	перелудить
вылуживать	вылудить
принуждать	принудить
понуждать	понудить
вынуждать	вынудить
сооружать	соорудить
запруживать	запрудить
перепруживать	перепрудить
натруживать	натрудить
перетруживать	перетрудить
утруждать	утрудить
засуживать	засудить
обсуждать	обсудить
присуждать	присудить
осуждать	осудить
просуживать	просудить
ссужать	ссудить
рассуживать	рассудить
отсуживать	отсудить
высуживать	высудить
застуживать	застудить
настуживать	настудить
перестуживать	перестудить
остужать	остудить
простуживать	простудить
выстуживать	выстудить
отчуждать	отчудить
выуживать	выудить
пристыжать	пристыдить
устыжать	устыдить
заряжать	зарядить
подзаряжать	подзарядить
перезаряжать	перезарядить
дозаряжать	дозарядить
наряжать	нарядить
наряжать	нарядить
занаряжать	занарядить
принаряжать	принарядить
снаряжать	снарядить
обряжать	обрядить
подряжать	подрядить
переряживать	перерядить
разряжать	разрядить
разряжать	разрядить
сряжать	срядить
отряжать	отрядить
уряжать	урядить
выряжать	вырядить
заклеивать	заклеить
наклеивать	наклеить
обклеивать	обклеить
вклеивать	вклеить
надклеивать	надклеить
подклеивать	подклеить
переклеивать	переклеить
приклеивать	приклеить
оклеивать	оклеить
доклеивать	доклеить
проклеивать	проклеить
склеивать	склеить
расклеивать	расклеить
отклеивать	отклеить
уклеивать	уклеить
выклеивать	выклеить
оевропеивать	оевропеить
заживать	зажить
заживать	зажить
ублажать	ублажить
увлажать	увлажить
отакелаживать	отакелажить
наживать	нажить
обнажать	обнажить
раздражать	раздражить
взбудораживать	взбудоражить
обескураживать	обескуражить
обживать	обжить
подживать	поджить
освежать	освежить
просвежать	просвежить
обнадеживать	обнадежить
обезнадеживать	обезнадежить
перемежать	перемежить
смежать	смежить
разнеживать	разнежить
изнеживать	изнежить
переживать	пережить
перекореживать	перекорежить
искореживать	искорежить
съеживать	съежить
изживать	изжить
обездвиживать	обездвижить
приживать	прижить
уничижать	уничижить
одалживать	одолжить
разодолжать	разодолжить
продолжать	продолжить
оживать	ожить
растревоживать	растревожить
доживать	дожить
закладывать	заложить
перезакладывать	перезаложить
налагать	наложить
накладывать	наложить
накладывать	наложить
облагать	обложить
обкладывать	обложить
вкладывать	вложить
предлагать	предложить
подкладывать	подложить
перелагать	переложить
перекладывать	переложить
перекладывать	переложить
прелагать	преложить
разлагать	разложить
раскладывать	разложить
излагать	изложить
низлагать	низложить
возлагать	возложить
прикладывать	приложить
прилагать	приложить
отволаживать	отволожить
докладывать	доложить
передокладывать	передоложить
полагать	положить
предполагать	предположить
противополагать	противоположить
рукополагать	рукоположить
располагать	расположить
предрасполагать	предрасположить
прокладывать	проложить
слагать	сложить
складывать	сложить
складывать	сложить
отлагать	отложить
откладывать	отложить
укладывать	уложить
выкладывать	выложить
растаможивать	растаможить
стреноживать	стреножить
перемножать	перемножить
размножать	размножить
помножать	помножить
умножать	умножить
преумножать	преумножить
приумножать	приумножить
завораживать	заворожить
навораживать	наворожить
обвораживать	обворожить
привораживать	приворожить
створаживать	створожить
удорожать	удорожить
настораживать	насторожить
проживать	прожить
изничтожать	изничтожить
уничтожать	уничтожить
подытоживать	подытожить
сживать	сжить
отживать	отжить
заслуживать	заслужить
наслуживать	наслужить
обслуживать	обслужить
дослуживать	дослужить
отслуживать	отслужить
услуживать	услужить
выслуживать	выслужить
обнаруживать	обнаружить
сдружать	сдружить
удружать	удружить
окружать	окружить
разоружать	разоружить
обезоруживать	обезоружить
вооружать	вооружить
перевооружать	перевооружить
довооружать	довооружить
напруживать	напружить
натуживать	натужить
выживать	выжить
выживать	выжить
размотыживать	размотыжить
заутюживать	заутюжить
наутюживать	наутюжить
подутюживать	подутюжить
переутюживать	переутюжить
разутюживать	разутюжить
проутюживать	проутюжить
отутюживать	отутюжить
прокажать	проказить
искажать	исказить
заражать	заразить
обеззараживать	обеззаразить
преображать	преобразить
обезображивать	обезобразить
изображать	изобразить
воображать	вообразить
облагоображивать	облагообразить
соображать	сообразить
отображать	отобразить
возражать	возразить
поражать	поразить
сражать	сразить
отражать	отразить
выражать	выразить
обуржуазивать	обуржуазить
приближать	приблизить
сближать	сблизить
обремизивать	обремизить
занижать	занизить
принижать	принизить
понижать	понизить
снижать	снизить
унижать	унизить
вонзать	вонзить
пронзать	пронзить
занавоживать	занавозить
унавоживать	унавозить
затормаживать	затормозить
подтормаживать	подтормозить
притормаживать	притормозить
растормаживать	растормозить
замораживать	заморозить
намораживать	наморозить
обмораживать	обморозить
вмораживать	вморозить
подмораживать	подморозить
перемораживать	переморозить
размораживать	разморозить
примораживать	приморозить
промораживать	проморозить
отмораживать	отморозить
вымораживать	выморозить
зауживать	заузить
обуживать	обузить
загружать	загрузить
нагружать	нагрузить
подгружать	подгрузить
перегружать	перегрузить
разгружать	разгрузить
догружать	догрузить
недогружать	недогрузить
погружать	погрузить
погружать	погрузить
сгружать	сгрузить
отгружать	отгрузить
выгружать	выгрузить
водружать	водрузить
суживать	сузить
офранцуживать	офранцузить
закабалять	закабалить
раскабалять	раскабалить
заваливать	завалить
наваливать	навалить
обваливать	обвалить
вваливать	ввалить
подваливать	подвалить
подваливать	подвалить
переваливать	перевалить
разваливать	развалить
взваливать	взвалить
приваливать	привалить
приваливать	привалить
проваливать	провалить
сваливать	свалить
сваливать	свалить
отваливать	отвалить
отваливать	отвалить
уваливать	увалить
захваливать	захвалить
нахваливать	нахвалить
перехваливать	перехвалить
расхваливать	расхвалить
восхвалять	восхвалить
выхваливать	выхвалить
вываливать	вывалить
засандаливать	засандалить
насандаливать	насандалить
отдалять	отдалить
удалять	удалить
изжаливать	изжалить
заливать	залить
закаливать	закалить
закаливать	закалить
накаливать	накалить
обкаливать	обкалить
подкаливать	подкалить
перекаливать	перекалить
докаливать	докалить
прокаливать	прокалить
раскалять	раскалить
оскаливать	оскалить
зашкаливать	зашкалить
выкаливать	выкалить
умалять	умалить
преумалять	преумалить
накрахмаливать	накрахмалить
подкрахмаливать	подкрахмалить
перекрахмаливать	перекрахмалить
прокрахмаливать	прокрахмалить
открахмаливать	открахмалить
выкрахмаливать	выкрахмалить
наливать	налить
запаливать	запалить
запаливать	запалить
подпаливать	подпалить
припаливать	припалить
опаливать	опалить
опаливать	опалить
пропаливать	пропалить
настропалять	настропалить
распалять	распалить
воспалять	воспалить
выпаливать	выпалить
протраливать	протралить
вытраливать	вытралить
засаливать	засалить
насаливать	насалить
обсаливать	обсалить
подсаливать	подсалить
пересаливать	пересалить
присаливать	присалить
осаливать	осалить
досаливать	досалить
просаливать	просалить
иссаливать	иссалить
усаливать	усалить
высаливать	высалить
приталивать	приталить
зачаливать	зачалить
подчаливать	подчалить
опечаливать	опечалить
перечаливать	перечалить
причаливать	причалить
размочаливать	размочалить
измочаливать	измочалить
счаливать	счалить
расчаливать	расчалить
отчаливать	отчалить
вычаливать	вычалить
обливать	облить
наскабливать	наскоблить
обскабливать	обскоблить
подскабливать	подскоблить
перескабливать	перескоблить
оскабливать	оскоблить
доскабливать	доскоблить
проскабливать	проскоблить
соскабливать	соскоблить
отскабливать	отскоблить
выскабливать	выскоблить
вливать	влить
обугливать	обуглить
подугливать	подуглить
закруглять	закруглить
подкруглять	подкруглить
округлять	округлить
скруглять	скруглить
выкруглять	выкруглить
замедлять	замедлить
умедлять	умедлить
подливать	подлить
продлевать	продлить
забеливать	забелить
подбеливать	подбелить
перебеливать	перебелить
обелять	обелить
добеливать	добелить
пробеливать	пробелить
отбеливать	отбелить
убелять	убелить
выбеливать	выбелить
расшевеливать	расшевелить
наделять	наделить
обделять	обделить
переделять	переделить
определять	определить
предопределять	предопределить
доопределять	доопределить
распределять	распределить
перераспределять	перераспределить
разделять	разделить
подразделять	подразделить
оделять	оделить
отделять	отделить
уделять	уделить
выделять	выделить
отяжелять	отяжелить
утяжелять	утяжелить
замеливать	замелить
намеливать	намелить
обмеливать	обмелить
обезземеливать	обезземелить
охмелять	охмелить
испепелять	испепелить
переливать	перелить
застреливать	застрелить
подстреливать	подстрелить
пристреливать	пристрелить
простреливать	прострелить
отстреливать	отстрелить
выстреливать	выстрелить
заселять	заселить
населять	населить
перенаселять	перенаселить
вселять	вселить
подселять	подселить
развеселять	развеселить
взвеселять	взвеселить
возвеселять	возвеселить
увеселять	увеселить
переселять	переселить
приселять	приселить
поселять	поселить
сселять	сселить
расселять	расселить
отселять	отселить
выселять	выселить
застилать	застелить
